Average runtime of the hanoi program for n going from 0 to 100000 with 20 tests

n = 49400	Runtime = 0.001206016997457482
n = 49500	Runtime = 0.001178591999632772
n = 49600	Runtime = 0.0011914159986190498
n = 49700	Runtime = 0.0011986170029558707
n = 49800	Runtime = 0.0012445409993233625
n = 49900	Runtime = 0.001240557998244185
n = 50000	Runtime = 0.0011611959998845123
n = 50100	Runtime = 0.0011616900010267273
n = 50200	Runtime = 0.0011590810026973486
n = 50300	Runtime = 0.0011740210029529408
n = 50400	Runtime = 0.0012288389989407733
n = 50500	Runtime = 0.001456941001379164
n = 50600	Runtime = 0.001192243998957565
n = 50700	Runtime = 0.0012257400012458675
n = 50800	Runtime = 0.0011891960020875558
n = 50900	Runtime = 0.001302665001276182
n = 51000	Runtime = 0.0012220300013723318
n = 51100	Runtime = 0.0013107060003676452
n = 51200	Runtime = 0.001234758001373848
n = 51300	Runtime = 0.0012123919987061527
n = 51400	Runtime = 0.0013227849995018914
n = 51500	Runtime = 0.001215457003127085
n = 51600	Runtime = 0.0012194570008432493
n = 51700	Runtime = 0.0012830009982280899
n = 51800	Runtime = 0.0013208289965405129
n = 51900	Runtime = 0.0013666439990629442
n = 52000	Runtime = 0.0013426599980448373
n = 52100	Runtime = 0.001237808999576373
n = 52200	Runtime = 0.0012503699981607497
n = 52300	Runtime = 0.0013095960021018982
n = 52400	Runtime = 0.001319982999120839
n = 52500	Runtime = 0.0012868570011050906
n = 52600	Runtime = 0.0013246520029497333
n = 52700	Runtime = 0.0012841050011047628
n = 52800	Runtime = 0.001286726001126226
n = 52900	Runtime = 0.0013240670014056377
n = 53000	Runtime = 0.0012771799993060995
n = 53100	Runtime = 0.0015557299993815832
n = 53200	Runtime = 0.0013418779999483377
n = 53300	Runtime = 0.0014375819991983008
n = 53400	Runtime = 0.0012990559989702888
n = 53500	Runtime = 0.001359216999844648
n = 53600	Runtime = 0.0013322300001163967
n = 53700	Runtime = 0.0013720110000576824
n = 53800	Runtime = 0.0013851969997631386
n = 53900	Runtime = 0.0013403970006038435
n = 54000	Runtime = 0.0013470000012603123
n = 54100	Runtime = 0.0013738449997617863
n = 54200	Runtime = 0.0013487850010278635
n = 54300	Runtime = 0.001614379001694033
